"wynagrodzenie";"plec";"ubezpieczenie";"zamieszkanie";"wyksztalcenie";"oszczednosci";"wiedza";"wiek"
4,06;"M";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Mała";32
2,88;"K";"Tak";"Miasto";"Zawodowe";"5-10 procent";"Mała";47
2,84;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Nie mam wiedzy";46
2,86;"K";"Nie";"Miasto";"Podstawowe";"5-10 procent";"Średnia";41
3,32;"M";"Tak";"Miasto";"Zawodowe";"5-10 procent";"Mała";41
2,86;"K";"Nie";"Miasto";"Podstawowe";"5-10 procent";"Mała";27
2,96;"K";"Tak";"Miasto";"Średnie";"Powyżej 15 procent";"Średnia";30
2,65;"M";"Nie";"Wieś";"Zawodowe";"0 procent";"Średnia";24
2,94;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Mała";55
3,54;"M";"Tak";"Miasto";"Wyższe";"5-10 procent";"Średnia";24
2,81;"K";"Nie";"Wieś";"Zawodowe";"0 procent";"Mała";36
2,91;"K";"Tak";"Miasto";"Wyższe";"10-15 procent";"Średnia";40
2,88;"K";"Tak";"Wieś";"Podstawowe";"5-10 procent";"Mała";45
2,88;"K";"Tak";"Wieś";"Zawodowe";"5-10 procent";"Średnia";55
2,9;"K";"Tak";"Miasto";"Podstawowe";"10-15 procent";"Nie mam wiedzy";23
2,84;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Mała";31
2,87;"K";"Tak";"Miasto";"Średnie";"5-10 procent";"Średnia";22
2,88;"K";"Tak";"Miasto";"Zawodowe";"5-10 procent";"Nie mam wiedzy";36
2,88;"K";"Tak";"Miasto";"Średnie";"5-10 procent";"Mała";19
2,91;"K";"Tak";"Wieś";"Średnie";"10-15 procent";"Nie mam wiedzy";32
3,62;"M";"Tak";"Miasto";"Wyższe";"10-15 procent";"Mała";25
2,87;"K";"Tak";"Miasto";"Średnie";"5-10 procent";"Nie mam wiedzy";30
2,91;"K";"Tak";"Miasto";"Podstawowe";"10-15 procent";"Mała";27
3,32;"M";"Tak";"Miasto";"Wyższe";"5-10 procent";"Średnia";25
4,26;"M";"Tak";"Miasto";"Średnie";"Powyżej 15 procent";"Duża";36
3,09;"M";"Nie";"Wieś";"Zawodowe";"Mniej niż 5 procent";"Mała";32
3,16;"M";"Nie";"Miasto";"Zawodowe";"5-10 procent";"Średnia";31
2,82;"K";"Nie";"Wieś";"Zawodowe";"0 procent";"Średnia";30
2,9;"K";"Tak";"Wieś";"Wyższe";"10-15 procent";"Średnia";56
3,34;"M";"Tak";"Miasto";"Wyższe";"5-10 procent";"Duża";28
2,84;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Mała";31
2,85;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Mała";44
2,99;"K";"Tak";"Miasto";"Średnie";"Powyżej 15 procent";"Średnia";26
2,9;"K";"Tak";"Miasto";"Wyższe";"10-15 procent";"Średnia";29
3,65;"M";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Duża";22
3,13;"M";"Nie";"Miasto";"Zawodowe";"5-10 procent";"Duża";35
4;"M";"Tak";"Miasto";"Zawodowe";"10-15 procent";"Duża";44
2,85;"K";"Nie";"Miasto";"Zawodowe";"Mniej niż 5 procent";"Mała";30
3,1;"M";"Nie";"Miasto";"Zawodowe";"5-10 procent";"Średnia";44
2,91;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Średnia";34
2,97;"K";"Tak";"Miasto";"Wyższe";"Powyżej 15 procent";"Duża";24
3,71;"M";"Tak";"Miasto";"Wyższe";"10-15 procent";"Średnia";33
3,55;"M";"Tak";"Wieś";"Wyższe";"10-15 procent";"Mała";38
2,94;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Średnia";24
2,93;"K";"Tak";"Miasto";"Średnie";"10-15 procent";"Mała";30
2,86;"K";"Tak";"Miasto";"Wyższe";"5-10 procent";"Mała";28
