"NazwaSpolki";"WielkoscSpolki";"WskaźnikCZ"
"Spółka 1";166,63;13,309
"Spółka 2";2436,772;71,126
"Spółka 3";45,254;9,975
"Spółka 4";54,178;8,848
"Spółka 5";2092,932;64,106
"Spółka 6";190,362;12,773
"Spółka 7";190,587;10,799
"Spółka 8";162,368;11,539
"Spółka 9";568,145;25,445
"Spółka 10";650,119;19,241
"Spółka 11";181,003;13,012
"Spółka 12";46,654;10,306
"Spółka 13";608,353;24,399
"Spółka 14";576,923;27,034
"Spółka 15";687,328;21,751
"Spółka 16";2324,327;64,961
"Spółka 17";714,842;21,256
"Spółka 18";2483,088;57,771
"Spółka 19";1922,284;54,859
"Spółka 20";211,762;14,431
"Spółka 21";228,775;11,758
"Spółka 22";35,099;9,04
"Spółka 23";654,497;22,827
"Spółka 24";48,568;9,303
"Spółka 25";161,446;13,109
"Spółka 26";186,568;11,529
"Spółka 27";2446,66;52,823
"Spółka 28";2290,664;49,228
"Spółka 29";44,552;8,857
"Spółka 30";188,414;13,818
"Spółka 31";2058,198;60,52
"Spółka 32";52,785;6,122
"Spółka 33";191,808;14,048
"Spółka 34";2282,746;60,131
"Spółka 35";2140,877;61,213
"Spółka 36";607,999;25,426
"Spółka 37";40,767;7,659
"Spółka 38";227,743;13,458
"Spółka 39";2246,706;62,562
"Spółka 40";614,398;19,894
"Spółka 41";44,273;9,018
"Spółka 42";2206,924;67,096
"Spółka 43";685,928;20,672
"Spółka 44";2324,098;64,672
"Spółka 45";2269,181;59,538
"Spółka 46";41,034;8,944
"Spółka 47";2323,396;63,307
"Spółka 48";215,467;11,572
"Spółka 49";173,092;12,007
"Spółka 50";214,943;11,854
"Spółka 51";43,898;8,933
"Spółka 52";167,313;13,695
"Spółka 53";175,612;12,227
"Spółka 54";578,597;21,971
"Spółka 55";2672,781;55,821
"Spółka 56";183,372;12,429
"Spółka 57";2462,261;57,454
"Spółka 58";44,778;7,872
"Spółka 59";584,111;23,752
"Spółka 60";2379,187;66,57
"Spółka 61";511,944;24,972
"Spółka 62";2431,062;54,436
"Spółka 63";189,375;10,983
"Spółka 64";39,98;8,16
"Spółka 65";45,946;9,343
"Spółka 66";636,507;23,354
"Spółka 67";44,563;7,445
"Spółka 68";42,011;10,323
"Spółka 69";192,505;13,755
"Spółka 70";626,55;25,545
"Spółka 71";211,694;12,761
"Spółka 72";43,001;8,093
"Spółka 73";2362,299;65,339
"Spółka 74";674,533;25,028
"Spółka 75";200,263;10,344
"Spółka 76";2390,123;61,854
"Spółka 77";180,966;10,856
"Spółka 78";2259,961;63,883
"Spółka 79";172,409;14,428
"Spółka 80";1754,758;58,399
"Spółka 81";41,312;8,125
"Spółka 82";45,452;9,431
"Spółka 83";46,727;9,25
