"NazwaSpolki";"WielkoscSpolki";"WskaznikCZ"
"Spolka 1";166.63;13.309
"Spolka 2";2436.772;71.126
"Spolka 3";45.254;9.975
"Spolka 4";54.178;8.848
"Spolka 5";2092.932;64.106
"Spolka 6";190.362;12.773
"Spolka 7";190.587;10.799
"Spolka 8";162.368;11.539
"Spolka 9";568.145;25.445
"Spolka 10";650.119;19.241
"Spolka 11";181.003;13.012
"Spolka 12";46.654;10.306
"Spolka 13";608.353;24.399
"Spolka 14";576.923;27.034
"Spolka 15";687.328;21.751
"Spolka 16";2324.327;64.961
"Spolka 17";714.842;21.256
"Spolka 18";2483.088;57.771
"Spolka 19";1922.284;54.859
"Spolka 20";211.762;14.431
"Spolka 21";228.775;11.758
"Spolka 22";35.099;9.04
"Spolka 23";654.497;22.827
"Spolka 24";48.568;9.303
"Spolka 25";161.446;13.109
"Spolka 26";186.568;11.529
"Spolka 27";2446.66;52.823
"Spolka 28";2290.664;49.228
"Spolka 29";44.552;8.857
"Spolka 30";188.414;13.818
"Spolka 31";2058.198;60.52
"Spolka 32";52.785;6.122
"Spolka 33";191.808;14.048
"Spolka 34";2282.746;60.131
"Spolka 35";2140.877;61.213
"Spolka 36";607.999;25.426
"Spolka 37";40.767;7.659
"Spolka 38";227.743;13.458
"Spolka 39";2246.706;62.562
"Spolka 40";614.398;19.894
"Spolka 41";44.273;9.018
"Spolka 42";2206.924;67.096
"Spolka 43";685.928;20.672
"Spolka 44";2324.098;64.672
"Spolka 45";2269.181;59.538
"Spolka 46";41.034;8.944
"Spolka 47";2323.396;63.307
"Spolka 48";215.467;11.572
"Spolka 49";173.092;12.007
"Spolka 50";214.943;11.854
"Spolka 51";43.898;8.933
"Spolka 52";167.313;13.695
"Spolka 53";175.612;12.227
"Spolka 54";578.597;21.971
"Spolka 55";2672.781;55.821
"Spolka 56";183.372;12.429
"Spolka 57";2462.261;57.454
"Spolka 58";44.778;7.872
"Spolka 59";584.111;23.752
"Spolka 60";2379.187;66.57
"Spolka 61";511.944;24.972
"Spolka 62";2431.062;54.436
"Spolka 63";189.375;10.983
"Spolka 64";39.98;8.16
"Spolka 65";45.946;9.343
"Spolka 66";636.507;23.354
"Spolka 67";44.563;7.445
"Spolka 68";42.011;10.323
"Spolka 69";192.505;13.755
"Spolka 70";626.55;25.545
"Spolka 71";211.694;12.761
"Spolka 72";43.001;8.093
"Spolka 73";2362.299;65.339
"Spolka 74";674.533;25.028
"Spolka 75";200.263;10.344
"Spolka 76";2390.123;61.854
"Spolka 77";180.966;10.856
"Spolka 78";2259.961;63.883
"Spolka 79";172.409;14.428
"Spolka 80";1754.758;58.399
"Spolka 81";41.312;8.125
"Spolka 82";45.452;9.431
"Spolka 83";46.727;9.25
"Spolka 84";48.394;8.949
"Spolka 85";168.939;13.468
"Spolka 86";2303.524;66.049
"Spolka 87";163.54;13.514
